Credit / Week,CEO,ACD,MKT,MKT REFERAL,HR,FNC,OD,OPS,AD HOC (not necessarily follow credit)
10,"If you love the transformation and joy you see in your child at Ebright, why not share it with your friends and family?

When you refer a friend or relative to Ebright, and they successfully enroll, both YOU and YOUR FRIEND will receive a special appreciation reward!","1) Have your child received the video for today’s class?
2) You can check your PCM video.
3) Invitation for FA
4) We have prepared your next workbook",,,,,,"1) Aone link 
2) Attendance marked 
3) 2 more classes left for the term to end reminder ",
11,,"1) Have your child received the video for today’s class?
2) Reminder for FA invitation
3) Feedback for coaches",,,approach parent for position opening in our company,,,"1) Aone link 
2) Attendance marked 
3) Reminder to do practice for FA",
12,,"1) Have your child receive the FA mic, Medal, cert and video.",Give your testimonial video about our branches and claim our free gifts ,,Open internship intake,Thank you for being part of Ebright,1) you can give us a feedback for our sites(web app),"1) FA completion congrats, checklist of items received 
2) Feedback for thr event ",
13,,"1) Your child have received a new workbook for new grade.
2) Have your child received the video for today’s class?",,,,,,"1) Received the FA report 
2) Welcome to the second term 
3) Repeat every grade!",
14,,Have your child received the video for today’s class?,,,,,,,
15,,Have your child received the video for today’s class?,,,,,,,
16,,Have your child received the video for today’s class?,,,,,,,
17,"If you love the transformation and joy you see in your child at Ebright, why not share it with your friends and family?

When you refer a friend or relative to Ebright, and they successfully enroll, both YOU and YOUR FRIEND will receive a special appreciation reward!",Have your child received the video for today’s class?,,,,,,,
18,,Have your child received the video for today’s class?,,,,,,,
19,,Have your child received the video for today’s class?,,,,,,,
20,,"1) Have your child received the video for today’s class?
2) Parent Coach Meetup is coming soon! we will meet you in 2 weeks for your child progress!",,,Feedback for Coach Quality,,,,
21,"It’s time to celebrate our students’ amazing progress! I am incredibly proud to announce our upcoming Monthly Showcase.  

This is a special stage dedicated to celebrating the hard work, courage, and confidence that our students have achieved over the past weeks.

Event details:
Date:
Time:
Venue:

[attached poster below]

If you have any questions regarding the showcase, please feel free to reach out directly to your Branch Manager or our Marketing Department.","1) Have your child received the video for today’s class?
2) Parent Coach Meetup is coming soon! we will meet you in next week for your child progress!
3) Renewal gift if you make payment on the day of PCM renewal",,,,,,,
22,"If you love the transformation and joy you see in your child at Ebright, why not share it with your friends and family?

When you refer a friend or relative to Ebright, and they successfully enroll, both YOU and YOUR FRIEND will receive a special appreciation reward!","1) Have your child received the video for today’s class?
2) You can check your PCM video.
3) Invitation for FA
4) We have prepared your next workbook",,,,,,,
23,,"1) Have your child received the video for today’s class?
2) Reminder for FA invitation
3) Feedback for coaches",,,,,,,
24,,"1) Have your child receive the FA mic, Medal, cert and video.",Give your testimonial video about our branches and claim our free gifts ,,,,"1) you can give us a feedback for our sites(web app)
2) invite to give feedback verbally.",,
25,,"1) Your child have received a new workbook for new grade.
2) Have your child received the video for today’s class?",,,,,,,
26,,Have your child received the video for today’s class?,,,,,,,
27,,Have your child received the video for today’s class?,,,,,,,
28,,Have your child received the video for today’s class?,,,,,,,
29,"If you love the transformation and joy you see in your child at Ebright, why not share it with your friends and family?

When you refer a friend or relative to Ebright, and they successfully enroll, both YOU and YOUR FRIEND will receive a special appreciation reward!",Have your child received the video for today’s class?,,,,,,,
30,,Have your child received the video for today’s class?,,,,,,,
31,,Have your child received the video for today’s class?,,,,,,,
32,,"1) Have your child received the video for today’s class?
2) Parent Coach Meetup is coming soon! we will meet you in 2 weeks for your child progress!",,,,,,,
33,"It’s time to celebrate our students’ amazing progress! I am incredibly proud to announce our upcoming Monthly Showcase.  

This is a special stage dedicated to celebrating the hard work, courage, and confidence that our students have achieved over the past weeks.

Event details:
Date:
Time:
Venue:

[attached poster below]

If you have any questions regarding the showcase, please feel free to reach out directly to your Branch Manager or our Marketing Department.","1) Have your child received the video for today’s class?
2) Parent Coach Meetup is coming soon! we will meet you in next week for your child progress!",,,,,,,
34,"If you love the transformation and joy you see in your child at Ebright, why not share it with your friends and family?

When you refer a friend or relative to Ebright, and they successfully enroll, both YOU and YOUR FRIEND will receive a special appreciation reward!","1) Have your child received the video for today’s class?
2) You can check your PCM video.
3) Invitation for FA
4) We have prepared your next workbook",,,,,,,
35,,"1) Have your child received the video for today’s class?
2) Reminder for FA invitation
3) Feedback for coaches",,,,,,,
36,,"Have your child receive the FA mic, Medal, cert and video.",Give your testimonial video about our branches and claim our free gifts ,,,,"1) you can give us a feedback for our sites(web app)
2) invite to give feedback verbally.
",,
37,,"1) Your child have received a new workbook for new grade.
2) Have your child received the video for today’s class?",,,,,,,
38,,Have your child received the video for today’s class?,,,,,,,
39,,Have your child received the video for today’s class?,,,,,,,
40,,Have your child received the video for today’s class?,,,,,,,
41,"If you love the transformation and joy you see in your child at Ebright, why not share it with your friends and family?

When you refer a friend or relative to Ebright, and they successfully enroll, both YOU and YOUR FRIEND will receive a special appreciation reward!",Have your child received the video for today’s class?,,,,,,,
42,,Have your child received the video for today’s class?,,,,,,,
43,,Have your child received the video for today’s class?,,,,,,,
44,,"1) Have your child received the video for today’s class?
2) Parent Coach Meetup is coming soon! we will meet you in 2 weeks for your child progress!",,,,,,,
45,"It’s time to celebrate our students’ amazing progress! I am incredibly proud to announce our upcoming Monthly Showcase.  

This is a special stage dedicated to celebrating the hard work, courage, and confidence that our students have achieved over the past weeks.

Event details:
Date:
Time:
Venue:

[attached poster below]

If you have any questions regarding the showcase, please feel free to reach out directly to your Branch Manager or our Marketing Department.","1) Have your child received the video for today’s class?
2) Parent Coach Meetup is coming soon! we will meet you in next week for your child progress!
3) Renewal gift if you make payment on the day of PCM renewal",,,,,,,
46,"If you love the transformation and joy you see in your child at Ebright, why not share it with your friends and family?

When you refer a friend or relative to Ebright, and they successfully enroll, both YOU and YOUR FRIEND will receive a special appreciation reward!","1) Have your child received the video for today’s class?
2) You can check your PCM video.
3) Invitation for FA
4) We have prepared your next workbook",,,,,,,
47,,"1) Have your child received the video for today’s class?
2) Reminder for FA invitation
3) Feedback for coaches",,,,,,,
48,,"1) Have your child receive the FA mic, Medal, cert and video.",Give your testimonial video about our branches and claim our free gifts ,,,,"1) you can give us a feedback for our sites(web app)
2) invite to give feedback verbally.
",,
